keys,it
Sheet,Foglio
Save,Salva
Run Scene,Esegui scena
Add Event,Aggiungi evento
Add Condition,Aggiungi condizione
Add Action,Aggiungi azione
Add Code,Aggiungi codice
Add,Aggiungi
Edit,Modifica
View,Vista
Tools,Strumenti
Simple Mode,Modalità semplice
Search,Cerca
Cancel,Annulla
Open,Apri
Undo,Annulla azione
Redo,Ripeti
Copy,Copia
Paste,Incolla
Zoom In,Ingrandisci
Zoom Out,Riduci
Name,Nome
Name:,Nome:
Type,Tipo
Text,Testo
Number,Numero
Yes-No,Sì-No
Details,Dettagli
Parameters,Parametri
Default,Predefinito
Tooltip,Suggerimento
Placeholder,Testo segnaposto
Range,Intervallo
◀ Back,◀ Indietro
★ Recent,★ Recenti
⭐ Favorites,⭐ Preferiti
✚ Apply & Add Another,✚ Applica e aggiungi un altro
Save the sheet - compile-on-save keeps its generated script fresh (Ctrl+S).,Salva il foglio - la compilazione al salvataggio mantiene aggiornato lo script generato (Ctrl+S).
"Save, then play the scene that uses this sheet's script.","Salva, poi esegue la scena che usa lo script di questo foglio."
Add an event (E).,Aggiunge un evento (E).
Add a condition to the selected event (C).,Aggiunge una condizione all'evento selezionato (C).
Add an action to the selected event (A).,Aggiunge un'azione all'evento selezionato (A).
Add a GDScript block to the selected event - the deliberate 'drop to code' escape hatch. Opens the code editor immediately.,Aggiunge un blocco GDScript all'evento selezionato - l'uscita deliberata verso il codice. Apre subito l'editor di codice.
"Beginner-friendly view: hides the advanced/code entries (GDScript blocks, sub-conditions, pick filters, signals/enums). Everything still works when off.","Vista per principianti: nasconde le voci avanzate/di codice (blocchi GDScript, sottocondizioni, filtri, segnali/enumerazioni). Tutto resta disponibile una volta disattivata."
"Toggle the generated-GDScript panel - the sheet's honest compiled output, side by side.","Mostra/nasconde il pannello GDScript generato - l'output compilato, onesto, del foglio, fianco a fianco."
Theme for this sheet (Load/Reload and the Theme Editor live in View),Tema di questo foglio (Carica/Ricarica e l'editor dei temi sono in Vista)
"Quick add…  (e.g. every tick, heal 5)","Aggiunta rapida…  (es. ogni tick, heal 5)"
"Create, open, save, and configure this event sheet.","Crea, apri, salva e configura questo foglio eventi."
"Panels, multi-view panes, theme, live values, and zoom.","Pannelli, viste multiple, tema, valori in tempo reale e zoom."
"Debug tools, validation, import, and project workflow.","Strumenti di debug, validazione, importazione e flusso di lavoro del progetto."
New…,Nuovo…
Open…,Apri…
Save As…,Salva come…
Sheet Type…,Tipo di foglio…
Manage Includes…,Gestisci inclusioni…
Custom Actions…,Azioni personalizzate…
Export GDScript…,Esporta GDScript…
Export Addon…,Esporta estensione…
New Behaviour Addon…,Nuova estensione di comportamento…
Inspector Designer…,Designer dell'Inspector…
Teach a Verb - Share Published Verbs,Insegna un verbo - Condividi i verbi pubblicati
Signal Event…,Evento di segnale…
Global Variable…,Variabile globale…
Local Variable…,Variabile locale…
Function…,Funzione…
Code (GDScript) on Selected Event,Codice (GDScript) sull'evento selezionato
Note…,Nota…
Region…,Regione…
Preload Resource…,Precarica una risorsa…
Extract Selection to Include…,Estrai la selezione in un'inclusione…
Find References…,Trova riferimenti…
Generate from Description (AI)…,Genera da una descrizione (IA)…
Simple Mode (beginner-friendly),Modalità semplice (per principianti)
GDScript Panel (toggle),Pannello GDScript (attiva/disattiva)
Open Sheets Panel,Pannello dei fogli aperti
Add-Event Rows,Righe « + Aggiungi evento »
Split View (toggle),Vista divisa (attiva/disattiva)
Detached View (toggle),Vista staccata (attiva/disattiva)
